sp	activity	reference
Viola tricolor L.	Analgesic(鎮痛剤);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Antiseptic(防腐剤);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Emetic(催吐薬);Expectorant(去痰薬);Hemolytic(溶血性);Laxative(下剤);Metabolic Stimulant(代謝刺激);Natriuretic(ナトリウム排泄増加性);Sedative(鎮静剤);Stimulant(興奮薬);Tineacide(殺タムシ剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Virola calophylla (Spruce) Warb.	Hallucinogen(幻覚剤);Narcotic(麻薬);Toxic(毒性)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Virola elongata Warb.	Anticancer(抗ガン);Antimitotic(抗有糸分裂);Candidicide;Hallucinogen(幻覚剤);Hallucinogenic(幻覚生成);Narcotic(麻薬);Psychomimetic(幻覚);Psychotropic(向精神薬);Tranquilizer(精神安定剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Viscum album L.	Antifertility(避妊);Antileukemic(抗白血病);Antineoplastic(抗腫瘍性);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitumor(抗腫瘍);Aphrodisiac(媚薬);Astringent(収斂性);cAMP-Phosphodiesterase inhibitor(cAMP-ホスホジエステラーゼ阻害剤);Cardiodepressant(心抑制);Cardiotonic(強心剤);Cardiotoxic(心臓毒性);Carminative(駆風薬);Cytostatic(細胞増殖抑制剤);Digestive(消化器);Diuretic(利尿薬);Emetic(催吐薬);Endophinogenic;Expectorant(去痰薬);Hypertensive(高血圧);Hypotensive(低血圧);Hypotonic(低張、低血圧);Immunostimulant(免疫賦活剤);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Laxative(下剤);Narcotic(麻薬);Nephrotonic(腎強壮性);Nervine(神経鎮静薬);Poison(毒);Sedative(鎮静剤);Stimulant(興奮薬);Symapathomimetic(交感神経様);Thymostimulant(胸腺刺激薬);Tonic(強壮剤);Tranquilizer(精神安定剤);Uterocontractant(子宮コントラクタント);Vasodilator(血管拡張神経、血管拡張薬);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Tetradenia riparia (Hochst.) Codd.	Antibacterial(抗菌);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Fungicide(殺菌剤、防カビ剤);Soporific(催眠剤);Stomachic(健胃薬);Tranquilizer(精神安定剤);Trichomonacide(抗トリコモナス剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Vitex agnus-castus L.	Analgesic(鎮痛剤);Anaphrodisiac(制淫薬);Anorectic(食思減退薬、食欲抑制薬);Antiandrogenic(抗アンドロゲン);Antibacterial(抗菌);Antiinflammatory(抗炎症);Antilactagogue(抗催乳薬);Antiprolactin(抗プロラクチン);Antiseptic(防腐剤);Candidicide;Dopaminergic(ドーパミン作動性);Emmenagogue(通経薬);Fungicide(殺菌剤、防カビ剤);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Progesterogenic;Sedative(鎮静剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Vitex negundo L.	Alterative(体質改善剤);Analgesic(鎮痛剤);Antiandrogenic(抗アンドロゲン);Antibacterial(抗菌);Antiedemic(抗浮腫性);Antiinflammatory(抗炎症);Antipyretic(解熱薬);Antiseptic(防腐剤);Antitussive(鎮咳薬);Astringent(収斂性);Bronchodilator(気管支拡張剤);Carminative(駆風薬);CNS-depressant(中枢神経系抑制剤);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Detoxicant(解毒剤);Diaphoretic(発汗剤);Discutient(散らし薬);Diuretic(利尿薬);Emmenagogue(通経薬);Expectorant(去痰薬);Hepatoprotective(肝保護);Insecticide(殺虫剤);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Larvicide(幼虫駆除剤);Nervine(神経鎮静薬);Sedative(鎮静剤);Tonic(強壮剤);Tranquilizer(精神安定剤);Vermicide(駆虫剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Vanilla planifolia Jacks.	Allergenic(アレルギー生成);Anticancer(抗ガン);Antioxidant(酸化防止剤);Antipyretic(解熱薬);Antisickling(鎌状化薬);Antispasmodic(鎮痙薬);Aphrodisiac(媚薬);Carminative(駆風薬);Cholagogue(胆汁分泌促進薬);Emmenagogue(通経薬);Stimulant(興奮薬);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Vataireopsis araroba (Aguirar) Ducke	Allergenic(アレルギー生成);Alterative(体質改善剤);Constipation(便秘);Cramp(けいれん、ひきつり);Dermatosis(皮膚病);Eczema(湿疹);Hemorrhoids(痔核);Herpes(ヘルペス);Mastosis;Mycosis(真菌症);Pityriasis(粃糠疹);Psoriasis(乾癬);Rheumatism(リウマチ);Ringworm(白癬);Trichophytosis(白癬症);Tylosis(胼胝症)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Veratrum album L.	Analeptic(気付け薬);Analgesic(鎮痛剤);Diaphoretic(発汗剤);Diuretic(利尿薬);Emetic(催吐薬);Errhine(鼻汁の分泌を促進する);Expectorant(去痰薬);Hypotensive(低血圧);Irritant(刺激物);Laxative(下剤);Nervine(神経鎮静薬);Respiradepressant(呼吸抑制剤);Scabicide(殺疥癬虫剤);Sedative(鎮静剤);Sternutator(くしゃみ誘発剤);Tonic(強壮剤);Toxic(毒性);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Veratrum viride Aiton	Abortifacient(堕胎薬);Analgesic(鎮痛剤);Antipyretic(解熱薬);Antispasmodic(鎮痙薬);Aperitif(食前酒);Arteriosedative;Cardiosedative;Decongestant(充血除去剤);Deobstruent(閉塞物の排除);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Emetic(催吐薬);Hepatotonic;Hyperemic(充血);Hypotensive(低血圧);Insecticide(殺虫剤);Larvicide(幼虫駆除剤);Nephrotonic(腎強壮性);Nervine(神経鎮静薬);Parasiticide(虫下し、駆虫薬);Poison(毒);Sedative(鎮静剤);Sternutator(くしゃみ誘発剤);Tranquilizer(精神安定剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Verbascum spp.	Analgesic(鎮痛剤);Antiherpetic(抗ヘルペス);Antiinflammatory(抗炎症);Antiperiodic(周期病薬);Antispasmodic(鎮痙薬);Antiviral(抗ウイルス薬);Astringent(収斂性);Decongestant(充血除去剤);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Diuretic(利尿薬);Emollient(緩和剤);Expectorant(去痰薬);Mucilaginous(粘着性がある);Narcotic(麻薬);Nervine(神経鎮静薬);Pectoral(胸筋);Sedative(鎮静剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Verbena officinalis L.	Adaptogen(適応促進薬、アダプトゲン);Analgesic(鎮痛剤);Antibacterial(抗菌);Antidepressant(抗鬱剤);Antiedemic(抗浮腫性);Antiinflammatory(抗炎症);Antileukemic(抗白血病);Antipyretic(解熱薬);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitumor(抗腫瘍);Antitussive(鎮咳薬);Antiviral(抗ウイルス薬);Aphrodisiac(媚薬);Astringent(収斂性);CNS depressant(中枢神経系抑制剤);Cytotoxic(細胞毒性);Decongestant(充血除去剤);Depurative(浄化作用);Diaphoretic(発汗剤);Digestive(消化器);Diuretic(利尿薬);Emetic(催吐薬);Emmenagogue(通経薬);Expectorant(去痰薬);Hypotensive(低血圧);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Laxative(下剤);Litholytic(結石溶解);Nervine(神経鎮静薬);Parasympathomimetic(副交感神経作用);Rubefacient(発赤剤);Secretolytic;Sedative(鎮静剤);Sialagogue(唾液分泌促進薬);Thymoleptic(感情抑制薬);Tonic(強壮剤);Uterocontractant(子宮コントラクタント);Uterotonic(子宮収縮薬);Vermicide(駆虫剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Veronica becca bunga L.	Alterative(体質改善剤);Antipyretic(解熱薬);Antiscorbutic(抗壊血病);Aperitif(食前酒);Depurative(浄化作用);Diuretic(利尿薬);Emmenagogue(通経薬);Litholytic(結石溶解)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Veronica officinalis L.	Alterative(体質改善剤);Antidiaphoretic(抗発汗性);Antiscorbutic(抗壊血病);Antiulcerogenic(抗潰瘍);Aperitif(食前酒);Astringent(収斂性);Depurative(浄化作用);Diaphoretic(発汗剤);Digestive(消化器);Diuretic(利尿薬);Emetic(催吐薬);Emmenagogue(通経薬);Expectorant(去痰薬);Stomachic(健胃薬);Tonic(強壮剤);Tranquilizer(精神安定剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Veronicastrum virginicum (L.) Farw.	Antiseptic(防腐剤);Carminative(駆風薬);Cholagogue(胆汁分泌促進薬);Depurative(浄化作用);Diaphoretic(発汗剤);Emetic(催吐薬);Hepatotonic;Laxative(下剤);Tonic(強壮剤);Toxic(毒性)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Vetiveria zizanioides (L.) Nash	Abortifacient(堕胎薬);Alexeteric(解毒作用);Analgesic(鎮痛剤);Antipyretic(解熱薬);Antispasmodic(鎮痙薬);Astringent(収斂性);Carminative(駆風薬);Diaphoretic(発汗剤);Diuretic(利尿薬);Emmenagogue(通経薬);Fungicide(殺菌剤、防カビ剤);Insecticide(殺虫剤);Litholytic(結石溶解);Sedative(鎮静剤);Stimulant(興奮薬);Stomachic(健胃薬);Tonic(強壮剤);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Viburnum opulus L.	Antiabortifacient(抗流産薬);Antispasmodic(鎮痙薬);Astringent(収斂性);Diuretic(利尿薬);Emetic(催吐薬);Hypotensive(低血圧);Laxative(下剤);Myorelaxant(筋肉弛緩薬);Sedative(鎮静剤);Uterorelaxant(子宮弛緩薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Solanum sessiliflorum Dunal	Abortifacient(堕胎薬);Antiemetic(制吐剤);Diuretic(利尿薬);Vermicide(駆虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Pinus banksiana Lamb.	Decongestant(充血除去剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Viburnum prunifolium L.	Antiabortifacient(抗流産薬);Anticonvulsive(鎮痙性);Antidiarrheic(下痢止め);Antispasmodic(鎮痙薬);Astringent(収斂性);Diaphoretic(発汗剤);Diuretic(利尿薬);Emetic(催吐薬);Nervine(神経鎮静薬);Sedative(鎮静剤);Tonic(強壮剤);Uterorelaxant(子宮弛緩薬);Uterotonic(子宮収縮薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Vicia faba L.	Antialcoholic(反アルコール);Antiangiogenic(抗血管新生);Antiparkinsonian(抗パーキンソン病);Aphrodisiac(媚薬);Cyanogenic(青酸生産);Diuretic(利尿薬);Dopaminergic(ドーパミン作動性);Estrogenic(エストロゲン);Expectorant(去痰薬);Hemolytic(溶血性);Hypertensive(高血圧);Natriuretic(ナトリウム排泄増加性);Stomachic(健胃薬);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Vinca major L.	Anticholinesterase(抗コリンエステラーゼ);Antihemorrhagic(抗出血性);Antilactagogue(抗催乳薬);Astringent(収斂性);Hypotensive(低血圧);Laxative(下剤);Negative inotropic(陰性変力作用);Parasympatholytic(副交感神経遮断薬);Positive Inotropic(陽性変力作用);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Urtica dioica L.	5-Lipoxygenase inhibitor(5リポキシゲナーゼ阻害剤);Analgesic(鎮痛剤);Anesthetic(麻酔薬);Anti-HIV(抗HIV);Antiadrenergic(抗アドレナリン);Antiallergic(抗アレルギー);Antiaromatase(抗アロマターゼ、エストロジェン抑制);Antiarthritic(抗関節炎薬);Antiasthmatic(抗ぜんそく);Antibacterial(抗菌);Anticancer(抗ガン);Anticomplement(抗補体);Anticonvulsant(抗けいれん薬、抗痙攣薬);Antiedemic(抗浮腫性);Antiexudative(抗浸潤性);Antihemorrhagic(抗出血性);Antihidrotic(汗止め);Antihistaminic(抗ヒスタミン薬);Antiinflammatory(抗炎症);Antileukotriene(抗ロイコトリエン);Antiprostatic(抗前立腺);Antipyretic(解熱薬);Antirheumatic(抗リウマチ剤);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitumor(抗腫瘍);Antiviral(抗ウイルス薬);Aphrodisiac(媚薬);Aquaretic(水利尿);Aromatase inhibitor(アロマターゼ阻害剤);Astringent(収斂性);Bitter(苦味);Bleeding(出血);Bradycardiac(徐脈);CNS depressant(中枢神経系抑制剤);Cyclooxygenase COX inhibitor(シクロオキシゲナーゼ阻害剤);Cytotoxic(細胞毒性);Depurative(浄化作用);Diuretic(利尿薬);Elastase inhibitor(エラスターゼ阻害剤);Emmenagogue(通経薬);Expectorant(去痰薬);Fungicide(殺菌剤、防カビ剤);Hematogenic(造血);Hemostat(止血剤);Histaminic(ヒスタミン);Hyperglycemic(高血糖性);Hypoglycemic(低血糖);Hypotensive(低血圧);Inteferonigenic(インターフェロン生成);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Laxative(下剤);Litholytic(結石溶解);Mitogenic(細胞分裂);Myorelaxant(筋肉弛緩薬);Pancreatonic(膵臓強壮薬);Rubefacient(発赤剤);Tonic(強壮剤);Uterotonic(子宮収縮薬);Vasoconstrictor(血管収縮薬);Vermicide(駆虫剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Usnea spp.	Analgesic(鎮痛剤);Antibacterial(抗菌);Antiinflammatory(抗炎症);Antisarcomic;Antiseptic(防腐剤);Antitumor(抗腫瘍);Candidicide;Deodorant(消臭);Expectorant(去痰薬);Fungicide(殺菌剤、防カビ剤);Parasiticide(虫下し、駆虫薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Utricularia vulgaris L.	Antiinflammatory(抗炎症);Antispasmodic(鎮痙薬);Cholagogue(胆汁分泌促進薬);Diuretic(利尿薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Vaccinium angustifolia Aiton and corymbosum L.	Analgesic(鎮痛剤);Antiaging(アンチエイジング);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Apoptotic(アポトーシス);Astringent(収斂性);Cerebrotonic(頭脳型);Depurative(浄化作用);Detoxicant(解毒剤);Emmenagogue(通経薬);Hypocholesterolemic(低コレステロール血);Memorigenic;Neuronogenic(ニューロン生成)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Vaccinium macrocarpum Aiton	Antiaggregant(抗血小板剤);Antibacterial(抗菌);Antioxidant(酸化防止剤);Antiscorbutic(抗壊血病);Antiseptic(防腐剤);Bitter(苦味);Diuretic(利尿薬);Hypoglycemic(低血糖);Laxative(下剤);Urinary antiseptic(尿路消毒薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Vaccinium myrtillus L.	Antiaggregant(抗血小板剤);Anticapillary Fragility(抗毛細血管脆弱性);Antiedemic(抗浮腫性);Antiexudative(抗浸潤性);Antiherpetic(抗ヘルペス);Antiinflammatory(抗炎症);Antiischemic(抗虚血);Antioxidant(酸化防止剤);Antiplaque(歯石防止);Antipyretic(解熱薬);Antiretinohemorrhagic;Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antiulcerogenic(抗潰瘍);Antiviral(抗ウイルス薬);Astringent(収斂性);Bitter(苦味);Circulostimulant;Collagen protectant(コラーゲン保護剤);Diuretic(利尿薬);Fungicide(殺菌剤、防カビ剤);Immunostimulant(免疫賦活剤);Lipolytic(脂肪分解);Myorelaxant(筋肉弛緩薬);Phagocytotic(食作用);Vasodilator(血管拡張神経、血管拡張薬);Vasoprotective(血管保護薬);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Vaccinium uliginosum L.	Narcotic(麻薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Vaccinium vitis-idaea L.	Antiherpetic(抗ヘルペス);Antiseptic(防腐剤);Antiviral(抗ウイルス薬);Astringent(収斂性);Cyclooxygenase COX inhibitor(シクロオキシゲナーゼ阻害剤);Cytotoxic(細胞毒性);Fungicide(殺菌剤、防カビ剤);Urinary antiseptic(尿路消毒薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Valeriana jatamansi Jones	Alexeteric(解毒作用);Amebicide(抗アメーバ薬);Analgesic(鎮痛剤);Antibacterial(抗菌);Antiperiodic(周期病薬);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Aphrodisiac(媚薬);Astringent(収斂性);Bitter(苦味);Carminative(駆風薬);CNS-depressant(中枢神経系抑制剤);Depurative(浄化作用);Diuretic(利尿薬);Emmenagogue(通経薬);Hypnotic(睡眠薬);Insecticide(殺虫剤);Sedative(鎮静剤);Stimulant(興奮薬);Stomachic(健胃薬);Tonic(強壮剤);Tranquilizer(精神安定剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Valeriana officinalis L.	Analgesic(鎮痛剤);Antibacterial(抗菌);Anticomplement(抗補体);Anticonvulsant(抗けいれん薬、抗痙攣薬);Antidandruff(ふけ予防);Antidiuretic(抗利尿薬);Antiperspirant(制汗剤);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitumor(抗腫瘍);Antiulcerogenic(抗潰瘍);Anxiolytic(抗不安薬);Aperitif(食前酒);Calmative(鎮静効果のある);Carminative(駆風薬);Cerebrostimulant;CNS-stimulant(中枢神経系刺激剤);Cytotoxic(細胞毒性);Depressant(抑制薬);Digestive(消化器);Diuretic(利尿薬);Emmenagogue(通経薬);GABA genic(GABA生成);GABA sparing(GABA節約作用);Hepatoprotective(肝保護);Hypnotic(睡眠薬);Hypotensive(低血圧);Mutagenic(変異原性);Myorelaxant(筋肉弛緩薬);Narcotic(麻薬);Nervine(神経鎮静薬);Peristaltic(蠕動性);Sedative(鎮静剤);Stimulant(興奮薬);Thymoleptic(感情抑制薬);Tranquilizer(精神安定剤);Vermicide(駆虫剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Vanilla planifolia Andrews	Allergenic(アレルギー生成);Antianemic(抗貧血);Anticancer(抗ガン);Anticariogenic(う蝕);Antidote(解毒剤);Antimutagenic(抗突然変異性);Antioxidant(酸化防止剤);Antiseptic(防腐剤);Antisickling(鎌状化薬);Antispasmodic(鎮痙薬);Aphrodisiac(媚薬);Bacteristat(静菌剤);Carminative(駆風薬);Cholagogue(胆汁分泌促進薬);Digestive(消化器);Diuretic(利尿薬);Emmenagogue(通経薬);Febrifuge(解熱剤);Insecticide(殺虫剤);Larvicide(幼虫駆除剤);Mosquitocide(防蚊剤);Piscicide(殺魚剤);Stimulant(興奮薬);Tonic(強壮剤);Vesicant(発疱薬);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Vanilla planifolia Jacks	Cancer(ガン);Caries(カリエス、骨瘍剤);Cramp(けいれん、ひきつり);Dysmenorrhea(月経困難);Fever(発熱);Hepatosis(肝機能不全);Hysteria(ヒステリー);Immunodepression(免疫抑制);Infection(感染);Inflammation(炎症);Nervousness(神経過敏);Pain(痛み);Polyp(ポリプ、隆起性病変);Rhinosis;Sickle cell anemia(鎌状赤血球貧血);Tumor(腫瘍);Water Retention(水保持)	James A Duke with Mary Jo Bogenschutz-Godwin,Judi duCellier,Peggy-Ann K.Duke(Illustrator),CRC HANDBOOK OF Medicinal Spices,CRC PRESS(2002)
